id,user_name,user_avatar,created_at,text,accuracy,communication,cleanliness,location,checkIn,value
1,Letizia,https://robohash.org/laboriosamnatusaspernatur.jpg?size=50x50&set=set1,12/29/2016,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",5,4,5,3,5,3
2,Tripp,https://robohash.org/ipsamvelitab.jpg?size=50x50&set=set1,10/14/2016,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",1,3,1,3,1,1
3,Rubetta,https://robohash.org/iustoaliquidsimilique.jpg?size=50x50&set=set1,02/08/2018,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.",1,5,4,4,1,5
4,Arlan,https://robohash.org/minustemporibussoluta.jpg?size=50x50&set=set1,08/01/2016,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",1,4,2,5,3,1
5,Xymenes,https://robohash.org/etquamdolorem.jpg?size=50x50&set=set1,02/01/2016,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,1,2,1,1,2,3
6,Blondy,https://robohash.org/beataeaccusamusfacere.jpg?size=50x50&set=set1,03/22/2016,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,1,1,3,4,5,5
7,Jarrid,https://robohash.org/impeditquiaconsequatur.jpg?size=50x50&set=set1,10/17/2017,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",4,5,4,3,4,3
8,Renae,https://robohash.org/suntvitaeet.jpg?size=50x50&set=set1,06/28/2016,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",4,4,3,3,4,1
9,Amitie,https://robohash.org/aspernaturvoluptasprovident.jpg?size=50x50&set=set1,01/25/2018,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,4,1,5,5,4,1
10,Pebrook,https://robohash.org/voluptatibusquiin.jpg?size=50x50&set=set1,03/05/2018,Nulla facilisi.,1,5,3,3,5,2
